date,water_precipitation,water_height,water_flow,water_volume,water_volume_variation
1990-05-20,0.0,33.51,1.9,16644049.0,0.0
1990-05-21,9.3,33.51,1.5,16644049.0,0.0
1990-05-22,9.3,33.53,1.4,16706659.0,62610.0
1990-05-23,0.0,33.57,1.4,16832308.0,125649.0
1990-05-24,0.0,33.59,1.5,16895348.0,63040.0
1990-05-25,0.0,33.6,1.5,16926920.0,31572.0
1990-05-26,0.0,33.6,1.5,16926920.0,0.0
1990-05-27,0.0,33.61,1.5,16958529.0,31609.0
1990-05-28,0.0,33.61,1.5,16958529.0,0.0
1990-05-29,0.0,33.61,1.5,16958529.0,0.0
1990-05-30,0.0,33.61,1.5,16958529.0,0.0
1990-05-31,0.0,33.6,1.5,16926920.0,-31609.0
1990-06-01,0.0,33.6,1.5,16926920.0,0.0
1990-06-02,0.0,33.59,1.5,16895348.0,-31572.0
1990-06-03,0.0,33.58,1.5,16863811.0,-31537.0
1990-06-04,14.0,33.57,1.4,16832308.0,-31503.0
1990-06-05,0.0,33.59,1.5,16895348.0,63040.0
1990-06-06,0.0,33.59,1.5,16895348.0,0.0
1990-06-07,0.0,33.58,3.09,16863811.0,-31537.0
1990-06-08,0.0,33.58,3.09,16863811.0,0.0
1990-06-09,0.0,33.58,3.09,16863811.0,0.0
1990-06-10,0.0,33.57,3.09,16832308.0,-31503.0
1990-06-11,0.0,33.57,2.32,16832308.0,0.0
1990-06-12,0.0,33.57,2.32,16832308.0,0.0
1990-06-13,0.0,33.57,2.32,16832308.0,0.0
1990-06-14,0.0,33.56,2.32,16800843.0,-31465.0
1990-06-15,0.0,33.56,2.32,16800843.0,0.0
1990-06-16,3.2,33.55,2.3,16769413.0,-31430.0
1990-06-17,0.0,33.55,2.3,16769413.0,0.0
1990-06-18,8.2,33.55,2.3,16769413.0,0.0
1990-06-19,0.0,33.55,2.3,16769413.0,0.0
1990-06-20,0.0,33.55,2.3,16769413.0,0.0
1990-06-21,0.0,33.55,2.3,16769413.0,0.0
1990-06-22,0.0,33.55,2.3,16769413.0,0.0
1990-06-23,0.0,33.55,2.3,16769413.0,0.0
1990-06-24,0.0,33.55,2.3,16769413.0,0.0
1990-06-25,1.4,33.54,2.28,16738017.0,-31396.0
1990-06-26,0.0,33.53,2.28,16706659.0,-31358.0
1990-06-27,0.0,33.53,2.28,16706659.0,0.0
1990-06-28,0.0,33.52,2.28,16675336.0,-31323.0
1990-06-29,0.0,33.52,2.28,16675336.0,0.0
1990-06-30,0.0,33.51,2.28,16644049.0,-31287.0
1990-07-01,2.0,33.5,2.26,16612796.0,-31253.0
1990-07-02,0.0,33.49,2.24,16581579.0,-31217.0
1990-07-03,0.0,33.48,2.24,16550398.0,-31181.0
1990-07-04,2.8,33.47,2.24,16519254.0,-31144.0
1990-07-05,4.5,33.46,2.24,16488144.0,-31110.0
1990-07-06,0.0,33.46,2.24,16488144.0,0.0
1990-07-07,0.0,33.44,2.2,16426031.0,-62113.0
1990-07-08,0.0,33.43,2.2,16395027.0,-31004.0
1990-07-09,0.0,33.41,2.2,16333128.0,-61899.0
1990-07-10,0.0,33.39,2.17,16271369.0,-61759.0
1990-07-11,0.0,33.38,2.17,16240542.0,-30827.0
1990-07-12,0.0,33.36,2.17,16178997.0,-61545.0
1990-07-13,0.0,33.33,2.13,16086944.0,-92053.0
1990-07-14,0.0,33.31,2.13,16025753.0,-61191.0
1990-07-15,0.0,33.29,2.09,15964701.0,-61052.0
1990-07-16,0.0,33.28,2.09,15934229.0,-30472.0
1990-07-17,0.0,33.26,2.78,15873389.0,-60840.0
1990-07-18,0.0,33.23,2.7,15782396.0,-90993.0
1990-07-19,0.0,33.19,2.67,15661562.0,-120834.0
1990-07-20,0.0,33.15,2.64,15541292.0,-120270.0
1990-07-21,0.0,33.12,2.61,15451458.0,-89834.0
1990-07-22,0.0,33.09,2.56,15361938.0,-89520.0
1990-07-23,0.0,33.06,2.56,15272734.0,-89204.0
1990-07-24,0.0,33.02,2.47,15154285.0,-118449.0
1990-07-25,0.0,32.98,2.45,15036394.0,-117891.0
1990-07-26,0.0,32.95,2.42,14948342.0,-88052.0
1990-07-27,0.0,32.92,2.39,14860602.0,-87740.0
1990-07-28,0.0,32.89,2.34,14773177.0,-87425.0
1990-07-29,0.0,32.86,2.34,14686062.0,-87115.0
1990-07-30,0.0,32.83,2.28,14599260.0,-86802.0
1990-07-31,0.0,32.8,2.25,14512770.0,-86490.0
1990-08-01,0.0,32.76,2.22,14397934.0,-114836.0
1990-08-02,0.0,32.72,2.16,14283650.0,-114284.0
1990-08-03,0.0,32.68,2.1,14169918.0,-113732.0
1990-08-04,0.0,32.64,2.04,14056736.0,-113182.0
1990-08-05,0.0,32.6,2.01,13944204.0,-112532.0
1990-08-06,0.0,32.56,1.98,13832021.0,-112183.0
1990-08-07,0.0,32.52,1.92,13720485.0,-111536.0
1990-08-08,0.0,32.48,1.86,13609495.0,-110990.0
1990-08-09,0.0,32.45,1.83,13526612.0,-82883.0
1990-08-10,0.0,32.41,1.79,13416577.0,-110035.0
1990-08-11,0.0,32.37,1.73,13307087.0,-109490.0
1990-08-12,0.0,32.33,1.67,13198140.0,-108947.0
1990-08-13,0.0,32.3,1.63,13116784.0,-81356.0
1990-08-14,0.0,32.26,1.6,13008786.0,-107998.0
1990-08-15,0.0,32.21,1.53,12874548.0,-134238.0
1990-08-16,0.0,32.17,1.46,12767765.0,-106783.0
1990-08-17,0.0,32.14,1.42,12688030.0,-79735.0
1990-08-18,0.0,32.1,1.35,12582188.0,-105842.0
1990-08-19,0.0,32.06,1.28,12476883.0,-105305.0
1990-08-20,0.0,32.03,1.24,12398256.0,-78627.0
1990-08-21,0.0,32.0,1.48,12319929.0,-78327.0
1990-08-22,0.3,31.96,1.38,12215962.0,-103967.0
1990-08-23,3.0,31.93,1.32,12138338.0,-77624.0
1990-08-24,0.0,31.89,1.27,12035303.0,-103035.0
1990-08-25,0.0,31.85,1.16,11932800.0,-102503.0
1990-08-26,0.0,31.82,1.47,11856272.0,-76528.0
1990-08-27,0.0,31.79,1.04,11780042.0,-76230.0
1990-08-28,0.0,31.75,1.66,11678864.0,-101178.0
1990-08-29,7.0,31.71,1.55,11578216.0,-100648.0
1990-08-30,0.0,31.67,1.48,11478095.0,-100121.0
1990-08-31,0.0,31.64,0.9,11403349.0,-74746.0
1990-09-01,1.2,31.6,1.6,11304148.0,-99201.0
1990-09-02,0.0,31.56,1.2,11205472.0,-98676.0
1990-09-03,0.0,31.51,1.2,11082864.0,-122608.0
1990-09-04,0.0,31.47,1.2,10996775.0,-86089.0
1990-09-05,0.0,31.44,1.2,10924695.0,-72080.0
1990-09-06,0.0,31.39,1.2,10804891.0,-119804.0
1990-09-07,0.0,31.35,1.2,10710107.0,-94784.0
1990-09-08,0.0,31.31,1.2,10615324.0,-94783.0
1990-09-09,0.0,31.25,1.2,10474804.0,-140520.0
1990-09-10,0.0,31.22,1.2,10404710.0,-70094.0
1990-09-11,0.0,31.17,1.2,10288880.0,-115830.0
1990-09-12,0.4,31.12,1.1,10173711.0,-115169.0
1990-09-13,0.0,31.07,1.1,10059536.0,-114175.0
1990-09-14,0.0,31.02,1.1,9946024.0,-113512.0
1990-09-15,0.0,30.97,1.1,9833567.0,-112457.0
1990-09-16,0.0,30.92,1.1,9721814.0,-111753.0
1990-09-17,0.0,30.88,1.1,9633158.0,-88656.0
1990-09-18,0.0,30.83,1.1,9523270.0,-109888.0
1990-09-19,0.0,30.75,1.1,9349313.0,-173957.0
1990-09-20,0.0,30.73,1.1,9306103.0,-43210.0
1990-09-21,0.0,30.67,1.1,9177594.0,-128509.0
